common_name,scientific_name,element_code
Fernald's Braya,Braya fernaldii,PDBRA0D0C0
Long's Braya,Braya longii,PDBRA0D0B0
Alula,Brighamia insignis,PDCAM01020
Alula,Brighamia rockii,PDCAM01040
Vega Blanca,Brunfelsia lactea,PDSOL05030
Puerto Rico Raintree,Brunfelsia portoricensis,PDSOL05040
Vahl's Boxwood,Buxus vahlii,PDBUX01050
Uhiuhi,Caesalpinia kavaiensis,PDFAB0L0P0
Capa Rosa,Callicarpa ampla,PDVER05020
Brock Sweetshrub,Calycanthus brockianus,PDCLC01040
Luquillo Forest Lidflower,Calyptranthes luquillensis,PDMRT01040
Thomas' Lidflower,Calyptranthes thomasiana,PDMRT01090
Woodbury's Lidflower,Calyptranthes woodburyi,PDMRT010C0
Lucky Morning Glory,Calystegia felix,PDCON040P0
Stebbins' Morning-glory,Calystegia stebbinsii,PDCON040H0
Baird's Camissonia,Camissonia bairdii,PDONA031Q0
Bolander's Camissonia,Camissonia bolanderi,PDONA031R0
Bunchflower Evening-primrose,Camissonia confertiflora,PDONA030E0
Robins' Bellflower,Campanula robinsiae,PDCAM020S0
Sharsmith's Harebell,Campanula sharsmithiae,PDCAM02100
Molokai Jackbean,Canavalia molokaiensis,PDFAB0Q0G0
Makaha Valley Jackbean,Canavalia napaliensis,PDFAB0Q0J0
Lava-field Jackbean,Canavalia pubescens,PDFAB0Q0N0
Holmgren's Bittercress,Cardamine holmgrenii,PDBRA0K1N0
Tree Anemone,Carpenteria californica,PDHDR04010
Christ's Indian-paintbrush,Castilleja christii,PDSCR0D0D0
Ash Grey Indian-paintbrush,Castilleja cinerea,PDSCR0D0H0
Kaibab Indian-paintbrush,Castilleja kaibabensis,PDSCR0D1J0
Organ Mountain Indian-paintbrush,Castilleja organorum,PDSCR0D2B0
Glowing Indian-paintbrush,Castilleja ornata,PDSCR0D4A0
Monte Neva Indian-paintbrush,Castilleja salsuginosa,PDSCR0D2W0
Tropical Lily-thorn,Catesbaea melanocarpa,PDRUB08010
Rincon Ridge Ceanothus,Ceanothus confusus,PDRHA04220
Coyote Ceanothus,Ceanothus ferrisiae,PDRHA041N0
Mason's Ceanothus,Ceanothus masonii,PDRHA04200
Vail Lake Ceanothus,Ceanothus ophiochilus,PDRHA041M0
Otay Mountain Ceanothus,Ceanothus otayensis,PDRHA04430
Pine Hill Ceanothus,Ceanothus roderickii,PDRHA04190
Blumberg Rosita,Centaurium blumbergianum,PDGEN020O0
Santa Catalina Mountain-mahogany,Cercocarpus traskiae,PDROS08030
Arnott's Broomspurge,Chamaesyce arnottiana,PDEUP0D070
Deppe's Broomspurge,Chamaesyce deppeana,PDEUP0D0T0
Na Pali Sandmat,Chamaesyce eleanoriae,PDEUP0D300
Garber's Spurge,Chamaesyce garberi,PDEUP0D0X0
Halemanu's Broomspurge,Chamaesyce halemanui,PDEUP0D120
Herbst's Sandmat,Chamaesyce herbstii,PDEUP0D2P0
Hoover's Broomspurge,Chamaesyce hooveri,PDEUP0D150
`Akoko,Chamaesyce kuwaleana,PDEUP0D2M0
Remy's Broomspurge,Chamaesyce remyi,PDEUP0D220
Rock's Broomspurge,Chamaesyce rockii,PDEUP0D240
Wahiawa Bog Sandmat,Chamaesyce sparsiflora,PDEUP0D2N0
Papala,Charpentiera densiflora,PDAMA08010
`Olapa,Cheirodendron dominii,PDARA03010
Coastal Goosefoot,Chenopodium littoreum,PDCHE091Z0
Howell's Chorizanthe,Chorizanthe howellii,PDPGN040C0
Orcutt's Spineflower,Chorizanthe orcuttiana,PDPGN040G0
Sonoma Spineflower,Chorizanthe valida,PDPGN040V0
Pintwater Rabbitbrush,Chrysothamnus eremobius,PDAST2C0F0
Slough Thistle,Cirsium crassicaule,PDAST2E0U0
La Graciosa Thistle,Cirsium loncholepis,PDAST2E1N0
Surf Thistle,Cirsium rhothophilum,PDAST2E2J0
Rusby's Thistle,Cirsium rusbyi,PDAST2E2L0
Sacramento Mountains Thistle,Cirsium vinaceum,PDAST2E320
Mariposa Pussy-paws,Cistanthe pulchella,PDPOR09060
Pygmy Pussy-paws,Cistanthe pygmaea,PDPOR09070
Presidio Clarkia,Clarkia franciscana,PDONA050H0
Vine Hill Clarkia,Clarkia imbricata,PDONA050K0
Merced Clarkia,Clarkia lingulata,PDONA050P0
Addison's Leatherflower,Clematis addisonii,PDRAN08010
Alabama Leatherflower,Clematis socialis,PDRAN08130
Millboro Leatherflower,Clematis viticaulis,PDRAN08110
`Oha,Clermontia calophylla,PDCAM03030
`Oha,Clermontia drepanomorpha,PDCAM03080
`Oha,Clermontia lindseyana,PDCAM030M0
`Oha,Clermontia peleana,PDCAM030Y0
`Oha,Clermontia pyrularia,PDCAM03100
`Oha,Clermontia samuelii,PDCAM03140
Worty Clermontia,Clermontia tuberculata,PDCAM03170
`Oha,Clermontia waimeae,PDCAM03190
Round-head Blue-eye Mary,Collinsia corymbosa,PDSCR0H060
Barren Valley Collomia,Collomia renacta,PDPLM020D0
Kauila,Colubrina oppositifolia,PDRHA05080
Etonia Rosemary,Conradina etonia,PDLAM0D060
Apalachicola False Rosemary,Conradina glabra,PDLAM0D030
Florida Semaphore Cactus,Consolea corallicola,PDCAC0D2X0
Puerto Rico Manjack,Cordia bellonis,PDBOR09040
Puerto Rico Manjack,Cordia rupicola,PDBOR090H0
Luquillo Mountains Manjack,Cordia wagnerorum,PDBOR090N0
Procumbent Bird's-beak,Cordylanthus nidularius,PDSCR0J0F0
Palmate-bracted Bird's-beak,Cordylanthus palmatus,PDSCR0J0J0
Baker's Tickseed,Coreopsis bakeri,PDAST2L120
Ciliate-leaf Tickseed,Coreopsis integrifolia,PDAST2L0D0
Boat-shaped Bugseed,Corispermum navicula,PDCHE0A070
Nigua,Cornutia obovata,PDVER08010
Distinct Hawthorn,Crataegus distincta,PDROS0H1F0
Harbison's Hawthorn,Crataegus harbisonii,PDROS0H9F0
Harvey's Hawthorn,Crataegus harveyana,PDROS0H250
Densewoods Hawthorn,Crataegus latebrosa,PDROS0H2W0
Nixon's Hawthorn,Crataegus nananixonii,PDROS0H810
Middlesex Frosted Hawthorn,Crataegus perjucunda,PDROS0H5W0
Higuero de Sierra,Crescentia portoricensis,PDBIG08030
Avon Park Rabbit-bells,Crotalaria avonensis,PDFAB160Q0
Terlingua Creek Cat's-eye,Cryptantha crassipes,PDBOR0A0N0
Deep-scar Cryptantha,Cryptantha excavata,PDBOR0A0W0
Yellow-white Cat's-eye,Cryptantha ochroleuca,PDBOR0A260
Pipe Springs Cryptantha,Cryptantha semiglabra,PDBOR0A2R0
Okeechobee Gourd,Cucurbita okeechobeensis,PDCUC0A050
Los Pinitos Dodder,Cuscuta dentatasquamata,PDCUS010G0
Cochise Dodder,Cuscuta mitriformis,PDCUS010Z0
Wyoming Dodder,Cuscuta plattensis,PDCUS01160
Warner's Dodder,Cuscuta warneri,PDCUS011R0
Gingerleaf Cyanea,Cyanea asarifolia,PDCAM04050
Spleenwort-leaf Cyanea,Cyanea aspleniifolia,PDCAM04060
Oahu Cyanea,Cyanea calycina,PDCAM04300
Copeland's Cyanea,Cyanea copelandii,PDCAM040G0
Dunbar's Cyanea,Cyanea dunbarii,PDCAM040P0
Smooth Cyanea,Cyanea glabra,PDCAM042J0
Grimes' Cyanea,Cyanea grimesiana,PDCAM040X0
Wet Forest Cyanea,Cyanea hamatiflora,PDCAM040Z0
`Oha,Cyanea kolekoleensis,PDCAM042N0
Lanceleaf Cyanea,Cyanea lanceolata,PDCAM04310
Lobed Cyanea,Cyanea lobata,PDCAM04190
Mark's Cyanea,Cyanea marksii,PDCAM041G0
Mceldown's Cyanea,Cyanea mceldowneyi,PDCAM041H0
Munro's Cyanea,Cyanea munroi,PDCAM04320
Blunt-lobe Cyanea,Cyanea obtusa,PDCAM041P0
Shark-tail Cyanea,Cyanea pinnatifida,PDCAM041S0
Flatleaf Cyanea,Cyanea platyphylla,PDCAM041T0
Molokai Cyanea,Cyanea procera,PDCAM041U0
Mapulehu Valley Cyanea,Cyanea profuga,PDCAM041V0
Purple-leaf Rollandia,Cyanea purpurellifolia,PDCAM0K0B0
`Oha,Cyanea remyi,PDCAM042L0
Shipman's Cyanea,Cyanea shipmanii,PDCAM04260
Popolo,Cyanea solanacea,PDCAM04270
Kaiholena Cyanea,Cyanea stictophylla,PDCAM042A0
Superb Cyanea,Cyanea superba,PDCAM042C0
`Oha,Cyanea tritomantha,PDCAM042E0
Wavy Cyanea,Cyanea undulata,PDCAM042G0
Puerto Rico Ridgerunner,Cybianthus sintenisii,PDMRS0A090
Cedar Breaks Biscuitroot,Cymopterus minimus,PDAPI0U0N0
Blodgett's Swallow-wort,Cynanchum blodgettii,PDASC05050
Double-toothed Cyrtandra,Cyrtandra biserrata,PDGES030C0
Ha`iwale,Cyrtandra cyaneoides,PDGES03100
Sharp-toothed Cyrtandra,Cyrtandra dentata,PDGES03120
Slender-stalked Cyrtandra,Cyrtandra filipes,PDGES03180
Slender Cyrtandra,Cyrtandra gracilis,PDGES031K0
Toothleaf Cyrtandra,Cyrtandra halawensis,PDGES031P0
Single-flower Cyrtandra,Cyrtandra hematos,PDGES034Y0
Ha`iwale,Cyrtandra kaulantha,PDGES032B0
Lydgate's Cyrtandra,Cyrtandra lydgatei,PDGES032U0
Munro's Cyrtandra,Cyrtandra munroi,PDGES03350
Shaggy-stem Cyrtandra,Cyrtandra oenobarba,PDGES033B0
Pohakea Gulch Cyrtandra,Cyrtandra oxybapha,PDGES03510
Niu Valley Cyrtandra,Cyrtandra polyantha,PDGES033S0
River Cyrtandra,Cyrtandra rivularis,PDGES03400
Hairy Cyrtandra,Cyrtandra sandwicensis,PDGES03430
Windy-ridge Cyrtandra,Cyrtandra sessilis,PDGES03450
Parasol Cyrtandra,Cyrtandra subumbellata,PDGES034C0
Laupahoehoe Cyrtandra,Cyrtandra tintinnabula,PDGES034E0
Greenleaf Cyrtandra,Cyrtandra viridiflora,PDGES034P0
Cox's Dalea,Dalea bartonii,PDFAB1A040
Gentry's Indigobush,Dalea tentaculoides,PDFAB1A1K0
Heller's Cieneguillo,Daphnopsis helleriana,PDTHY02020
Rugel's Pawpaw,Deeringothamnus rugelii,PDANN03020
Kauai Delissea,Delissea rhytidosperma,PDCAM05070
Plateau Delissea,Delissea rivularis,PDCAM050C0
Heart-shaped Delissea,Delissea subcordata,PDCAM05090
Undulata Delissea,Delissea undulata,PDCAM050A0
Baker's Larkspur,Delphinium bakeri,PDRAN0B050
Yellow Larkspur,Delphinium luteum,PDRAN0B0Z0
Heil's Tansy-mustard,Descurainia kenheilii,PDBRA0X0B0
Trailing Tick-trefoil,Desmodium humifusum,PDFAB1D0M0
Yellow Scrub Balm,Dicerandra christmanii,PDLAM0F080
Scrub Balm,Dicerandra frutescens,PDLAM0F022
Spotless Balm,Dicerandra immaculata,PDLAM0F030
Blushing Scrub Balm,Dicerandra modesta,PDLAM0F021
Radford's Dicerandra,Dicerandra radfordiana,PDLAM0F070
Santa Cruz Island monkeyflower,Diplacus brandegeei,PDSCR220G0
Ozark leatherwood,Dirca decipiens,PDTHY03030
Beach Spectacle-pod,Dithyrea maritima,PDBRA10020
Slender-horned Spineflower,Dodecahema leptoceras,PDPGN0V010
Bloom Peak Douglasia,Douglasia conservatorum,PDPRI04100
Wasatch Draba,Draba brachystylis,PDBRA110K0
Klaza Draba,Draba bruce-bennettii,PDBRA11410
Charleston Draba,Draba paucifructa,PDBRA111V0
Dense Draba,Draba pycnosperma,PDBRA113D0
Tushar Mountain Whitlow-grass,Draba ramulosa,PDBRA112X0
Stolon Whitlow-grass,Draba sobolifera,PDBRA112C0
Weber's Whitlow-grass,Draba weberi,PDBRA113H0
Na`ena`e,Dubautia arborea,PDAST33010
Na`ena`e,Dubautia herbstobatae,PDAST330S0
Imbricate Dubautia,Dubautia imbricata,PDAST330Q0
Broadleaf Dubautia,Dubautia latifolia,PDAST33060
Na`ena`e Pua Kea,Dubautia paleata,PDAST330E0
Na`ena`e,Dubautia pauciflorula,PDAST330R0
Sherff Railliardia,Dubautia sherffiana,PDAST330L0
Wahiawa Dubautia,Dubautia syndetica,PDAST33100
Na`ena`e,Dubautia waialealae,PDAST330P0
Shortleaf Dudleya,Dudleya brevifolia,PDCRA04053
Munchkin Dudleya,Dudleya gnoma,PDCRA040W0
Santa Cruz Island Dudleya,Dudleya nesiotica,PDCRA040J0
Conejo Dudleya,Dudleya parva,PDCRA04016
Laguna Beach Dudleya,Dudleya stolonifera,PDCRA040P0
Santa Barbara Island Dudleya,Dudleya traskiae,PDCRA040Q0
Verity's Dudleya,Dudleya verityi,PDCRA040U0
Bear Valley Sandwort,Eremogone ursina,PDCAR040R0
Brandegee's Eriastrum,Eriastrum brandegeeae,PDPLM03020
Greenwood's Heath-goldenrod,Ericameria lignumviridis,PDAST3L0X0
Winward's Whitestem Goldenbush,Ericameria winwardii,PDAST3L0N3
Abajo Daisy,Erigeron abajoensis,PDAST3M010
Acoma Fleabane,Erigeron acomanus,PDAST3M4Y0
Awapa Daisy,Erigeron awapensis,PDAST3M4V0
Bisti Fleabane,Erigeron bistiensis,PDAST3M5Q0
Bald Daisy,Erigeron calvus,PDAST3M5N0
Cave Mountain Fleabane,Erigeron cavernensis,PDASTE1070
Heliograph Peak Fleabane,Erigeron heliographis,PDAST3M500
Hess' Fleabane,Erigeron hessii,PDAST3M1T0
Chiricahua Fleabane,Erigeron kuschei,PDAST3M240
Lemmon's Fleabane,Erigeron lemmonii,PDAST3M2A0
La Sal Daisy,Erigeron mancus,PDAST3M2F0
Fish Creek Fleabane,Erigeron piscaticus,PDAST3M4X0
Scepter-bearing Fleabane,Erigeron sceptrifer,PDAST3M520
Stansell's Fleabane,Erigeron stanselliae,PDASTE10C0
Hairless Fleabane,Erigeron subglaber,PDAST3M3X0
Wilken's Fleabane,Erigeron wilkenii,PDAST3M4Z0
Alcove Daisy,Erigeron zothecinus,PDAST3M4W0
Indian Knob Mountainbalm,Eriodictyon altissimum,PDHYD04010
Ibex Buckwheat,Eriogonum ammophilum,PDPGN08070
Ruby Valley Buckwheat,Eriogonum argophyllum,PDPGN080K0
Kaye's Buckwheat,Eriogonum artificis,PDPGN087E0
Brandegee's Buckwheat,Eriogonum brandegeei,PDPGN080U0
Tehachapi Buckwheat,Eriogonum callistum,PDPGN08790
The Cedars Buckwheat,Eriogonum cedrorum,PDPGN087A0
Basalt Desert Buckwheat,Eriogonum codium,PDPGN086Y0
Conejo Buckwheat,Eriogonum crocatum,PDPGN081G0
Cronquist's Buckwheat,Eriogonum cronquistii,PDPGN081H0
Churchill Narrows Buckwheat,Eriogonum diatomaceum,PDPGN086Z0
Wildrose Canyon Buckwheat,Eriogonum eremicola,PDPGN08210
Gypsum Buckwheat,Eriogonum gypsophilum,PDPGN082M0
Holmgren's Buckwheat,Eriogonum holmgrenii,PDPGN082W0
Gate Canyon Buckwheat,Eriogonum hylophilum,PDPGN08300
Lost Creek Buckwheat,Eriogonum mitophyllum,PDPGN08770
Morton's Buckwheat,Eriogonum mortonianum,PDPGN083Z0
Smith's Buckwheat,Eriogonum smithii,PDPGN085G0
Frisco Buckwheat,Eriogonum soredium,PDPGN086G0
San Pedro River Wild Buckwheat,Eriogonum terrenatum,PDPGN08760
Tiehm's Buckwheat,Eriogonum tiehmii,PDPGN086L0
Mt. Diablo Buckwheat,Eriogonum truncatum,PDPGN085Z0
Acker Rock Wild Buckwheat,Eriogonum villosissimum,PDPGN087B0
San Mateo Woolly-sunflower,Eriophyllum latilobum,PDAST3N060
Loch Lomond Button-celery,Eryngium constancei,PDAPI0Z0W0
Wedgeleaf Button-snakeroot,Eryngium cuneifolium,PDAPI0Z0A0
Delta Coyote-thistle,Eryngium racemosum,PDAPI0Z0S0
Arizona Eryngo,Eryngium sparganophyllum,PDAPI0Z0T0
Menzies' Wallflower,Erysimum menziesii,PDBRA160R0
Santa Cruz Wallflower,Erysimum teretifolium,PDBRA160N0
Seep Monkeyflowers,Erythranthe angulosa,PDPHR01220
Mad pupper,Erythranthe bergeri,PDPHR01210
Spring Mountains Monkeyflower,Erythranthe charlestonensis,PDPHR01270
Santa Lucia Monkeyflower,Erythranthe hardhamiae,PDPHR01030
Southwest Monkeyflower,Erythranthe plotocalyx,PDPHR01200
Red Rock Canyon Monkeyflower,Erythranthe rhodopetra,PDPHR01040
Diamond-petal California Poppy,Eschscholzia rhombipetala,PDPAP0A0D0
Guadalupe Pincushion Cactus,Escobaria guadalupensis,PDCAC0X030
Nellie Cory Cactus,Escobaria minima,PDCAC0X0A0
Cochise Pincushion Cactus,Escobaria robbinsiorum,PDCAC0X0C0
Koolau Eugenia,Eugenia koolauensis,PDMRT030J0
Woodbury's Stopper,Eugenia woodburyana,PDMRT03120
Cape Sable Thoroughwort,Eupatorium frustratum,PDAST3P0N0
Georgia Spurge,Euphorbia georgiana,PDEUP0Q4A0
`Akoko,Euphorbia haeleeleana,PDEUP0Q0T0
Orocopia Mountains Spurge,Euphorbia jaegeri,PDEUP0Q440
Telephus Spurge,Euphorbia telephioides,PDEUP0Q1Z0
Rockcastle Wood-aster,Eurybia saxicastellii,PDASTEB0L0
Pinewoods Aster,Eurybia spinulosa,PDASTEB0N0
Gaudichaud's Exocarpus,Exocarpos gaudichaudii,PDSAN03010
Heau,Exocarpos luteolus,PDSAN03020
Mehamehame,Flueggea neowawraea,PDEUP0R020
Ackerman Green Gentian,Frasera ackermanae,PDGEN050H0
Pine Hill Flannelbush,Fremontodendron decumbens,PDSTE03030
Fryxell's Pygmy Mallow,Fryxellia pygmaea,PDMAL0D010
Small's Milkpea,Galactia smallii,PDFAB1P0R0
Argus Bedstraw,Galium argense,PDRUB0N060
San Gabriel Bedstraw,Galium grande,PDRUB0N0V0
Nanu,Gardenia brighamii,PDRUB0P010
Mann's Gardenia,Gardenia mannii,PDRUB0P030
Remy's Gardenia,Gardenia remyi,PDRUB0P040
Blue Ridge Bog Huckleberry,Gaylussacia orocola,PDERI0G0Z0
Brush-pea,Genistidium dumosum,PDFAB1S010
Hawaiian Red Crane's-bill,Geranium arboreum,PDGER02010
Nohoanu,Geranium hanaense,PDGER021D0
Hinahina,Geranium humile,PDGER020G0
Kauai Crane's-bill,Geranium kauaiense,PDGER02190
Yerba-Maricao-de-Cueva,Gesneria pauciflora,PDGES04030
Karen's Gilia,Gilia karenae,PDPLM04240
Texas Greasebush,Glossopetalon texense,PDCRO04050
Beautiful Goetzea,Goetzea elegans,PDSOL0A010
Island Brittleleaf,Gonocalyx concolor,PDERI0H010
Puerto Rico Brittleleaf,Gonocalyx portoricensis,PDERI0H020
Hairy-fruit Chewstick,Gouania hillebrandii,PDRHA07060
Meyen's Gouania,Gouania meyenii,PDRHA070A0
Oahu Chewstick,Gouania vitifolia,PDRHA070H0
Lone Mesa Snakeweed,Gutierrezia elegans,PDAST4B0D0
Colorado Stickseed,Hackelia gracilenta,PDBOR0G0E0
Deep Creek Stickseed,Hackelia ibapensis,PDBOR0G0V0
Taylor's Stickseed,Hackelia taylorii,PDBOR0G0Y0
Showy Stickseed,Hackelia venusta,PDBOR0G0T0
Honohono,Haplostachys haplostachya,PDLAM0L020
Aboriginal Prickly-apple,Harrisia aboriginum,PDCAC13010
Fragrant Prickly-apple,Harrisia fragrans,PDCAC13030
Higo Chumbo,Harrisia portoricensis,PDCAC13050
Hammockherb,Hasteola robertiorum,PDASTDX020
Orcutt's Hazardia,Hazardia orcuttii,PDAST4H070
Mary's Bluet,Hedyotis butterwickiae,PDRUB0W1G0
Cook's Bluet,Hedyotis cookiana,PDRUB0W090
Kio`ele,Hedyotis coriacea,PDRUB0W0A0
Degener's Bluet,Hedyotis degeneri,PDRUB0W0F0
`Uiwi,Hedyotis elatior,PDRUB0W0G0
Water Bluet,Hedyotis fluviatilis,PDRUB0W0H0
Cliff-dwelling Star-violet,Hedyotis flynnii,PDRUB0W1V0
Maui Star-violet,Hedyotis formosa,PDRUB0W0L0
Littoral Bluet,Hedyotis littoralis,PDRUB0W0V0
Mann's Bluet,Hedyotis mannii,PDRUB0W0X0
Rockface Star-violet,Hedyotis parvula,PDRUB0W130
Jackie's Bluet,Hedyotis pooleana,PDRUB0W1T0
Na Pali Beach Hedyotis,Hedyotis st.-johnii,PDRUB0W1C0
Kalalau Valley Star-violet,Hedyotis tryblium,PDRUB0W1M0
Lakeside Sunflower,Helianthus carnosus,PDAST4N0A0
Newhall Sunflower,Helianthus inexpectatus,PDAST4N250
Whorled Sunflower,Helianthus verticillatus,PDAST4N240
Winter's Sunflower,Helianthus winteri,PDAST4N260
Red Rock Tarweed,Hemizonia arida,PDAST4R010
Otay Tarweed,Hemizonia conjugens,PDAST4R070
Clay Reed-mustard,Hesperidanthus argillaceus,PDBRA28030
Syes Butte Plains-mustard,Hesperidanthus barnebyi,PDBRA28020
Toad-flax Cress,Hesperidanthus suffrutescens,PDBRA19010
Marin Western Flax,Hesperolinon congestum,PDLIN01060
Lake County Western Flax,Hesperolinon didymocarpum,PDLIN01070
Lanai Hesperomannia,Hesperomannia arborescens,PDAST4T010
Maui Island-aster,Hesperomannia arbuscula,PDAST4T020
Kauai Hesperomannia,Hesperomannia lydgatei,PDAST4T030
Spokane False Goldenaster,Heterotheca barbata,PDAST4V0R0
lemonyellow false goldenaster,Heterotheca postpetrinis,PDAST4V1L0
Finzel's Wild Ginger,Hexastylis finzelii,PDARI030D0
Kauai Hau Kuahiwi,Hibiscadelphus distans,PDMAL0G020
Wood's Hau Kuahiwi,Hibiscadelphus woodii,PDMAL0G080
Ma`o Hau Hele,Hibiscus brackenridgei,PDMAL0H060
Clay's Hibiscus,Hibiscus clayi,PDMAL0H0A0
Neches River Rosemallow,Hibiscus dasycalyx,PDMAL0H0E0
Slender Rushpea,Hoffmannseggia tenella,PDFAB20050
Rock Lady,Holmgrenanthe petrophila,PDSCR2J010
Santa Cruz Tarplant,Holocarpha macradenia,PDAST4X020
Bolander's Horkelia,Horkelia bolanderi,PDROS0W011
Bolander's Horkelia,Horkelia clevelandii,PDROS0W012
Henderson's Horkelia,Horkelia hendersonii,PDROS0W090
Rydberg's Horkelia,Horkelia rydbergii,PDROS0W0L0
Barton Flats Horkelia,Horkelia wilderae,PDROS0W0J0
Correll's Bluet,Houstonia correllii,PDRUB1T0B0
Mountain Golden-heather,Hudsonia montana,PDCIS03020
Sanderson's Cheesebush,Hymenoclea sandersonii,PDAST50030
Stone Rubberweed,Hymenoxys lapidicola,PDAST530Q0
Te,Ilex cookii,PDAQU01090
Cuthbert's Holly,Ilex cuthbertii,PDAQU010D0
Guayabota-Pequena,Ilex sintenisii,PDAQU010T0
Peters Mountain Mallow,Iliamna corei,PDMAL0K080
Kankakee Globemallow,Iliamna remota,PDMAL0K060
Spring Mountain Ankle-aster,Ionactis caelestis,PDASTE4010
Gila Morning Glory,Ipomoea gilana,PDCON0A2R0
Pagosa Skyrocket,Ipomopsis polyantha,PDPLM060T0
Holy Ghost Ipomopsis,Ipomopsis sancti-spiritus,PDPLM060S0
Carquinez Goldenbush,Isocoma arguta,PDAST57050
Cinder-cone Isodendrion,Isodendrion hosakae,PDVIO03040
Rockcliff Isodendrion,Isodendrion laurifolium,PDVIO03060
Wahine Noho Kula,Isodendrion pyrifolium,PDVIO030B0
Tahquitz Ivesia,Ivesia callida,PDROS0X040
Castle Crags Ivesia,Ivesia longibracteata,PDROS0X0U0
Pine Nut Ivesia,Ivesia pityocharis,PDROS0X0Y0
Reclined Clustervine,Jacquemontia reclinata,PDCON0B090
Lunar Crater Howell's Buckwheat,Johanneshowellia crateriorum,PDPGN0Y010
Perennial Caltrop,Kallstroemia perennans,PDZYG03060
Kanaloa,Kanaloa kahoolawensis,PDFAB63010
Alakai Swamp Island-daisy,Keysseria erici,PDAST5C010
Mt. Waialeale Island-daisy,Keysseria helenae,PDASTA7020
Koki`o,Kokia drynarioides,PDMAL0L020
Kauai Koki`o,Kokia kauaiensis,PDMAL0L030
Degener Korthalsella,Korthalsella degeneri,PDVIS04030
Koolau Range Labordia,Labordia cyrtandrae,PDLOG06020
Heller's Labordia,Labordia helleri,PDLOG06080
Ridgetop Labordia,Labordia hosakana,PDLOG060R0
Waianae Range Labordia,Labordia kaalae,PDLOG060B0
Wahiawa Mountain Labordia,Labordia lydgatei,PDLOG060C0
Kauai Labordia,Labordia pumila,PDLOG060L0
three-flower labordia,Labordia triflora,PDLOG060N0
Turner's Woolwort,Laennecia turnerorum,PDASTDL060
Burke's Goldfields,Lasthenia burkei,PDAST5L010
Contra Costa Goldfields,Lasthenia conjugens,PDAST5L040
Two-flower Pea,Lathyrus biflorus,PDFAB25180
Malva Rosa,Lavatera assurgentiflora,PDMAL0N020
Comanche Point Layia,Layia leucopappa,PDAST5N0A0
Texas Golden Gladecress,Leavenworthia texana,PDBRA1L022
Chisos Pinweed,Lechea mensalis,PDCIS04070
`Anaunau,Lepidium arbuscula,PDBRA1M010
Barneby's Pepper-grass,Lepidium barnebyanum,PDBRA1M040
Ostler's Pepper-grass,Lepidium ostleri,PDBRA1M120
Puerto Rico Apple-cactus,Leptocereus grantianus,PDCAC0W010
Dudley Bluffs Bladderpod,Lesquerella congesta,PDBRA1N1T0
Lincoln County Bladderpod,Lesquerella lata,PDBRA1N0Y0
Lyrate Bladderpod,Lesquerella lyrata,PDBRA1N120
White Bladderpod,Lesquerella pallida,PDBRA1N1W0
Spring Creek Bladderpod,Lesquerella perforata,PDBRA1N1A0
Stones River Bladderpod,Lesquerella stonensis,PDBRA1N1K0
Zapata Bladderpod,Lesquerella thamnophila,PDBRA1N1M0
San Francisco Lessingia,Lessingia germanorum,PDAST5S010
Gypsum Hotspring Aster,Leucosyris blepharophylla,PDAST64170
Matt Turner's Aster,Leucosyris mattturneri,PDAST641D0
Maguire's Bitteroot,Lewisia maguirei,PDPOR04090
Baker's Meadowfoam,Limnanthes bakeri,PDLIM02020
Sebastopol Meadowfoam,Limnanthes vinculans,PDLIM02090
Chiricahua Mudwort,Limosella pubiflora,PDSCR10040
Pioneertown Linanthus,Linanthus bernardinus,PDPLM09190
Baldwin Lake Linanthus,Linanthus killipii,PDPLM090N0
Allred's Flax,Linum allredii,PDLIN02140
Sand Flax,Linum arenicola,PDLIN02020
West's Flax,Linum westii,PDLIN02100
Olokele Canyon Nehe,Lipochaeta fauriei,PDAST5Z060
Variable-leaf Nehe,Lipochaeta heterophylla,PDAST5Z070
Maui Nehe,Lipochaeta kamolensis,PDAST5Z090
Kauai Nehe,Lipochaeta micrantha,PDAST5Z0C0
Remy's Nehe,Lipochaeta remyi,PDAST5Z0G0
Rock's Nehe,Lipochaeta rockii,PDAST5Z0H0
Slender-leaf Nehe,Lipochaeta tenuifolia,PDAST5Z0L0
Spreading Nehe,Lipochaeta venosa,PDAST5Z0N0
Waimea Canyon Nehe,Lipochaeta waimeaensis,PDAST5Z0P0
San Clemente Island Woodland-star,Lithophragma maximum,PDSAX0M070
Rock's Lobelia,Lobelia dunbariae,PDCAM0E0D0
Gaudichaud's Lobelia,Lobelia gaudichaudii,PDCAM0E0L0
Hawaiian Lobelia,Lobelia gloria-montis,PDCAM0E0P0
Gray's Lobelia,Lobelia grayana,PDCAM0E0Q0
Waianae Range Lobelia,Lobelia monostachya,PDCAM0E1E0
Oahu Lobelia,Lobelia oahuensis,PDCAM0E100
Hairy Lobelia,Lobelia villosa,PDCAM0E1B0
Wupatki Calico,Loeseliastrum franciscanum,PDPLM0G030
Bentonite Biscuitroot,Lomatium bentonitum,PDAPI1B2M0
Agate Desert Lomatium,Lomatium cookii,PDAPI1B250
Red-fruit Lomatium,Lomatium erythrocarpum,PDAPI1B260
Greenman's Lomatium,Lomatium greenmanii,PDAPI1B0R0
Knoke's Desert-parsley,Lomatium knokei,PDAPI1B2N0
