Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Beaverpond Marstonia,Marstonia castor,IMGASJ0900,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113559/Marstonia_castor
Comal Siltsnail,Marstonia comalensis,IMGASF9010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113286/Marstonia_comalensis
Gaddis Marstonia,Marstonia gaddisorum,IMGASK0110,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.785267/Marstonia_gaddisorum
Coosa Pyrg,Marstonia hershleri,IMGASJ0A20,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117874/Marstonia_hershleri
Royal Springsnail,Marstonia ogmorhaphe,IMGASJ0450,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118166/Marstonia_ogmorhaphe
Ozark Pyrg,Marstonia ozarkensis,IMGASJ0040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: AR (S1), MO (SH)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109474/Marstonia_ozarkensis
Armored Marstonia,Marstonia pachyta,IMGASJ0940,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120280/Marstonia_pachyta
Moss Pyrg,Marstonia scalariformis,IMGASJ0050,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: AL (S1), IA (SX), IL (SNR), MO (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115792/Marstonia_scalariformis
an anchialine pool snail,Neritilia hawaiiensis,IMGASR4010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118964/Neritilia_hawaiiensis
Hihiwai,Neritina granosa,IMGASE4020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120846/Neritina_granosa
Hapawai,Neritina vespertina,IMGASE4060,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: HI (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117838/Neritina_vespertina
Nymph Trumpet,Phreatoceras taylori,IMGAS1A010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: TX (S3),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116797/Phreatoceras_taylori
Hueco Cavesnail,Phreatodrobia conica,IMGASS6020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: TX (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108232/Phreatodrobia_conica
a cavesnail,Phreatodrobia coronae,IMGASS6080,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: TX (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111007/Phreatodrobia_coronae
Mimic Cavesnail,Phreatodrobia imitata,IMGASS6010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119860/Phreatodrobia_imitata
Domed Cavesnail,Phreatodrobia nugax,IMGASS6040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: TX (S3),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109930/Phreatodrobia_nugax
Beaked Cavesnail,Phreatodrobia rotunda,IMGASS6070,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: TX (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120559/Phreatodrobia_rotunda
Ornate Physa,Physella costata,IMGASM0090,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112551/Physella_costata
Grain Physa,Physella hordacea,IMGASM0150,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,"United States: OR (S1), WA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119349/Physella_hordacea
