Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Yadon's Rein Orchid,Piperia yadonii,PMORC1X070,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131476/Piperia_yadonii
Hawai`i Bog Orchid,Platanthera holochila,PMORC1Y0R0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158488/Platanthera_holochila
Shriver's Frilly Orchid,Platanthera shriveri,PMORC1Y1D0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,"United States: MD (S1), NC (S1), PA (SNR), VA (S1), WV (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.821738/Platanthera_shriveri
Lanai Pleomele,Pleomele fernaldii,PMAGA09020,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159321/Pleomele_fernaldii
Forbe's Dracaena,Pleomele forbesii,PMAGA09030,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137425/Pleomele_forbesii
Hawai`i Hala Pepe,Pleomele hawaiiensis,PMAGA09040,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132019/Pleomele_hawaiiensis
Mann's Bluegrass,Poa mannii,PMPOA4Z1M0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148394/Poa_mannii
Napa Bluegrass,Poa napensis,PMPOA4Z1R0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161644/Poa_napensis
Hawaiian Bluegrass,Poa sandvicensis,PMPOA4Z290,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144124/Poa_sandvicensis
Island Bluegrass,Poa siphonoglossa,PMPOA4Z2B0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159533/Poa_siphonoglossa
Little Aguja Pondweed,Potamogeton clystocarpus,PMPOT03040,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132015/Potamogeton_clystocarpus
Florida Pondweed,Potamogeton floridanus,PMPOT030A0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156711/Potamogeton_floridanus
Methy Lake Pondweed,Potamogeton methyensis,PMPOT030M0,Vascular Plants,Flowering Plants - Monocots,G1Q,G1,,,,Canada,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128400/Potamogeton_methyensis
Kilauea Pritchardia,Pritchardia beccariana,PMARE09040,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153023/Pritchardia_beccariana
Forbe's Pritchardia,Pritchardia forbesiana,PMARE090A0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146595/Pritchardia_forbesiana
Hardy's Pritchardia,Pritchardia hardyi,PMARE090D0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153308/Pritchardia_hardyi
Lo`ulu Lelo,Pritchardia hillebrandii,PMARE090E0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153176/Pritchardia_hillebrandii
Lo`ulu,Pritchardia kaalae,PMARE090G0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147733/Pritchardia_kaalae
Lanai Pritchardia,Pritchardia lanaiensis,PMARE09130,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152199/Pritchardia_lanaiensis
Lo`ulu,Pritchardia lanigera,PMARE090M0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157499/Pritchardia_lanigera
Limahuli Valley Pritchardia,Pritchardia limahuliensis,PMARE09140,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142926/Pritchardia_limahuliensis
Molokai Pritchardia,Pritchardia lowreyana,PMARE090N0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142236/Pritchardia_lowreyana
Lo`ulu Hiwa,Pritchardia martii,PMARE090R0,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154290/Pritchardia_martii
Little Pritchardia,Pritchardia minor,PMARE090T0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141951/Pritchardia_minor
Munro's Pritchardia,Pritchardia munroi,PMARE090V0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129605/Pritchardia_munroi
Wai`oli Valley Pritchardia,Pritchardia perlmanii,PMARE09150,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130188/Pritchardia_perlmanii
Lo`ulu,Pritchardia remota,PMARE090W0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132936/Pritchardia_remota
Lands-of-Papa Pritchardia,Pritchardia schattaueri,PMARE09120,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157091/Pritchardia_schattaueri
Sticky-bud Pritchardia,Pritchardia viscosa,PMARE090Y0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157769/Pritchardia_viscosa
Poleline Pritchardia,Pritchardia waialealeana,PMARE09070,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144683/Pritchardia_waialealeana
Trinity Mountains Alkali Grass,Puccinellia howellii,PMPOA531A0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150400/Puccinellia_howellii
Port Hobron Alkali Grass,Puccinellia hultenii,PMPOA530H0,Vascular Plants,Flowering Plants - Monocots,G1G2Q,G1,,,,United States: AK (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127865/Puccinellia_hultenii
Bonaventure Island Alkali Grass,Puccinellia macra,PMPOA530P0,Vascular Plants,Flowering Plants - Monocots,G1?Q,G1,,,,Canada: QC (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147227/Puccinellia_macra
Smooth Alkali Grass,Puccinellia sublaevis,PMPOA531D0,Vascular Plants,Flowering Plants - Monocots,G1?,G1,,,,United States: AK (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160114/Puccinellia_sublaevis
California Beakrush,Rhynchospora californica,PMCYP0N060,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134279/Rhynchospora_californica
Georgia Beakrush,Rhynchospora culixa,PMCYP0N0J0,Vascular Plants,Flowering Plants - Monocots,G1Q,G1,,,,"United States: FL (SNR), GA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141924/Rhynchospora_culixa
Dotted Beakrush,Rhynchospora punctata,PMCYP0N1V0,Vascular Plants,Flowering Plants - Monocots,G1?,G1,,,,"United States: FL (SH), GA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133731/Rhynchospora_punctata
One-spike Beakrush,Rhynchospora solitaria,PMCYP0N250,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,"United States: GA (S1), SC (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157762/Rhynchospora_solitaria
Little River Arrowhead,Sagittaria secundifolia,PMALI040U0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Threatened,,,"United States: AL (S1), GA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146562/Sagittaria_secundifolia
Scrub Bluestem,Schizachyrium niveum,PMPOA5D060,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131819/Schizachyrium_niveum
Silky Bluestem,Schizachyrium sericatum,PMPOA5D0A0,Vascular Plants,Flowering Plants - Monocots,G1Q,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136783/Schizachyrium_sericatum
Hitchcock's Blue-eyed-grass,Sisyrinchium hitchcockii,PMIRI0D0S0,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133239/Sisyrinchium_hitchcockii
Atlantic Ladies Tresses,Spiranthes bightensis,PMORC2B260,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,"United States: DE (SNR), MD (SNR), NJ (SNR), NY (SH), VA (SNR)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1202573/Spiranthes_bightensis
Texas Ladies'-tresses,Spiranthes brevilabris,PMORC2B032,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,"United States: AL (SH), FL (S1), GA (SH), LA (SNR), MS (S1), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143352/Spiranthes_brevilabris
Canelo Hills Ladies'-tresses,Spiranthes delitescens,PMORC2B140,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138772/Spiranthes_delitescens
Florida Ladies'-tresses,Spiranthes floridana,PMORC2B031,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,"United States: AL (SH), FL (S1), GA (S1), MS (S1), NC (S1), SC (SX), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130391/Spiranthes_floridana
Fire Ladies'-tresses,Spiranthes igniorchis,PMORC2B220,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1011621/Spiranthes_igniorchis
Wenatchee Mountains Trillium,Trillium crassifolium,PMLIL201G0,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,United States: WA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1130170/Trillium_crassifolium
Ocmulgee Trillium,Trillium delicatum,PMLIL201B0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1128060/Trillium_delicatum
Georgia Dwarf Trillium,Trillium georgianum,PMLIL200Q9,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.790964/Trillium_georgianum
Wateree Trillium,Trillium oostingii,PMLIL20170,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: SC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.871800/Trillium_oostingii
Persistent Trillium,Trillium persistens,PMLIL200N0,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,"United States: GA (S1), SC (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147783/Trillium_persistens
Tennessee Trillium,Trillium tennesseense,PMLIL20180,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.892860/Trillium_tennesseense
Craighead's Nodding-caps,Triphora craigheadii,PMORC2F010,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152771/Triphora_craigheadii
Yucatan Nodding-caps,Triphora yucatanensis,PMORC2F060,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137961/Triphora_yucatanensis
,Triteleia piutensis,PMLIL210H0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.925931/Triteleia_piutensis
Green's Awnless Orcutt Grass,Tuctoria greenei,PMPOA6N010,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144317/Tuctoria_greenei
Mucronate Orcutt Grass,Tuctoria mucronata,PMPOA6N020,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152644/Tuctoria_mucronata
Correll's Yelloweyed Grass,Xyris correlliorum,PMXYR010V0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.680485/Xyris_correlliorum
St. Marks Yellow-eyed-grass,Xyris panacea,PMXYR010Y0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.835939/Xyris_panacea
Brazos River Yucca,Yucca necopina,PMAGA0B0K0,Vascular Plants,Flowering Plants - Monocots,G1G2,G1,,,,United States: TX (S3),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154241/Yucca_necopina
Mogoll Deathcamas,Zigadenus mogollonensis,PMLIL280H0,Vascular Plants,Flowering Plants - Monocots,G1,G1,,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155943/Zigadenus_mogollonensis
Texas Wild Rice,Zizania texana,PMPOA6J020,Vascular Plants,Flowering Plants - Monocots,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155192/Zizania_texana
Tweedy's Sand-verbena,Abronia ammophila,PDNYC01040,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: WY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155919/Abronia_ammophila
Hidden-petal Indian-mallow,Abutilon eremitopetalum,PDMAL02030,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157878/Abutilon_eremitopetalum
Ko`oloa`ula,Abutilon menziesii,PDMAL020C0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129364/Abutilon_menziesii
Green-flower Indian-mallow,Abutilon sandwicense,PDMAL020K0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146099/Abutilon_sandwicense
Liliwai,Acaena exigua,PDROS01030,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133022/Acaena_exigua
San Mateo Thornmint,Acanthomintha duttonii,PDLAM01040,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135577/Acanthomintha_duttonii
San Diego Thornmint,Acanthomintha ilicifolia,PDLAM01010,Vascular Plants,Flowering Plants - Dicots,G1,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151284/Acanthomintha_ilicifolia
Blunt Chaff-flower,Achyranthes mutica,PDAMA01040,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154014/Achyranthes_mutica
Arizona Monkshood,Aconitum infectum,PDRAN01030,Vascular Plants,Flowering Plants - Dicots,G1Q,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151354/Aconitum_infectum
Leoncita False Foxglove,Agalinis calycina,PDSCR01050,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,"United States: NM (S1), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137626/Agalinis_calycina
Navasota False Foxglove,Agalinis navasotensis,PDSCR01180,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136667/Agalinis_navasotensis
Mahoe,Alectryon macrococcus,PDSPN01010,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155097/Alectryon_macrococcus
Stonecrop Gily-flower,Aliciella sedifolia,PDPLM04200,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CO (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130087/Aliciella_sedifolia
Kuawawaenohu,Alsinidendron lychnoides,PDCAR03030,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157372/Alsinidendron_lychnoides
Waianae Range Alsinidendron,Alsinidendron obovatum,PDCAR03010,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144926/Alsinidendron_obovatum
Mountain Alsinidendron,Alsinidendron trinerve,PDCAR03020,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154644/Alsinidendron_trinerve
Climbing Alsinidendron,Alsinidendron viscosum,PDCAR03040,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136737/Alsinidendron_viscosum
Brown's Pigweed,Amaranthus brownii,PDAMA04090,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138218/Amaranthus_brownii
Outcrop Ragweed,Ambrosia porcheri,PDAST0C0R0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: SC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1228514/Ambrosia_porcheri
San Diego Ragweed,Ambrosia pumila,PDAST0C0M0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154697/Ambrosia_pumila
Santa Rita Yellowshow,Amoreuxia gonzalezii,PDBIX01010,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142932/Amoreuxia_gonzalezii
Large-flower Fiddleneck,Amsinckia grandiflora,PDBOR01050,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156541/Amsinckia_grandiflora
Kearney's Slimpod,Amsonia kearneyana,PDAPO030M0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136515/Amsonia_kearneyana
Tharp's Bluestar,Amsonia tharpii,PDAPO030K0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,"United States: NM (S1), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141086/Amsonia_tharpii
Santa Ynez Groundstar,Ancistrocarphus keilii,PDASTD5020,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.786432/Ancistrocarphus_keilii
Rough Angelica,Angelica scabrida,PDAPI070K0,Vascular Plants,Flowering Plants - Dicots,G1G2,G1,,,,United States: NV (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157806/Angelica_scabrida
Charleston Pussytoes,Antennaria soliceps,PDAST0H0P0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161232/Antennaria_soliceps
Georgia Rockcress,Arabis georgiana,PDBRA060N0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Threatened,,,"United States: AL (S1), GA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154760/Arabis_georgiana
Cuyamaca Rockcress,Arabis hirshbergiae,PDBRA064D0,Vascular Plants,Flowering Plants - Dicots,G1Q,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129598/Arabis_hirshbergiae
Johnston's Rockcress,Arabis johnstonii,PDBRA060Y0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142771/Arabis_johnstonii
Columbia Gorge Rockcress,Arabis olympica,PDBRA060M2,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: WA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153713/Arabis_olympica
Rincon Mountain Rockcress,Arabis tricornuta,PDBRA06200,Vascular Plants,Flowering Plants - Dicots,G1G2,G1,,,,United States: AZ (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139715/Arabis_tricornuta
Dwarf Bear-poppy,Arctomecon humilis,PDPAP02020,Vascular Plants,Flowering Plants - Dicots,G1,G1,Endangered,,,United States: UT (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159159/Arctomecon_humilis
Arroyo de la Cruz Manzanita,Arctostaphylos cruzensis,PDERI040B0,Vascular Plants,Flowering Plants - Dicots,G1G2,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137554/Arctostaphylos_cruzensis
Vine Hill Manzanita,Arctostaphylos densiflora,PDERI040C0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150824/Arctostaphylos_densiflora
Schreiber's Manzanita,Arctostaphylos glutinosa,PDERI040G0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137569/Arctostaphylos_glutinosa
San Bruno Mountain Manzanita,Arctostaphylos imbricata,PDERI040L0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159465/Arctostaphylos_imbricata
Montara Manzanita,Arctostaphylos montaraensis,PDERI042W0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140555/Arctostaphylos_montaraensis
Morro Manzanita,Arctostaphylos morroensis,PDERI040S0,Vascular Plants,Flowering Plants - Dicots,G1,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139178/Arctostaphylos_morroensis
Ione Manzanita,Arctostaphylos myrtifolia,PDERI04240,Vascular Plants,Flowering Plants - Dicots,G1G2,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156885/Arctostaphylos_myrtifolia
Nissenan Manzanita,Arctostaphylos nissenana,PDERI040V0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154143/Arctostaphylos_nissenana
Oso Manzanita,Arctostaphylos osoensis,PDERI042S0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137338/Arctostaphylos_osoensis
Otay Manzanita,Arctostaphylos otayensis,PDERI040Y0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138976/Arctostaphylos_otayensis
Pacific Manzanita,Arctostaphylos pacifica,PDERI040Z0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130315/Arctostaphylos_pacifica
Pajaro Manzanita,Arctostaphylos pajaroensis,PDERI04100,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153167/Arctostaphylos_pajaroensis
Alameda Manzanita,Arctostaphylos pallida,PDERI04110,Vascular Plants,Flowering Plants - Dicots,G1,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135010/Arctostaphylos_pallida
Sandmat Manzanita,Arctostaphylos pumila,PDERI04180,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136945/Arctostaphylos_pumila
Silverleaf Manzanita,Arctostaphylos silvicola,PDERI041F0,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147236/Arctostaphylos_silvicola
Mameyuelo,Ardisia luquillensis,PDMRS01030,Vascular Plants,Flowering Plants - Dicots,G1,G1,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156269/Ardisia_luquillensis
